,CUSTOMER_NAME,REVIEW_TITLE,REVIEW_COMMENTS,RATINGS,SOURCE,OVERALL_SENTIMENT
0,Rajakishore mallick,Nice product.,I like JBL .sound is awsome & looks is too good.,5,amazon,Positive
1,Zaki Ahmed,Keeping it despite wanting to return it,"I have been using Bluetooth for several years now , and I find it difficult to find a pair that satisfies me ,but I really liked this one , the positives are - 1 excellent sound , 2 - excellent mics and the voice activated assistant feature works very well , call quality is really good.
The negative that annoyed me a lot was that anc does not work when we use a single earbud , which is how I use earphones most of the time .. this was really frustrating and pointless I hope they give us the ability to use anc on one earbud through a firmware update, I don't know why they have put such stupid restrictions in the first place .. the anc however is not that strong .. I uninstalled the JBL app and use it without the app .. you can change from anc to transparency just by asking the Google assistant to do it ..so I didn't find a need for the app and also experienced some playback issues which were resolved as soon as I removed the app and even read some reviews that the app is causing playback issues .. the pros are good sound , good mics and overall apart from not being able to use anc with one earbud this tws is really good .., I got it for 7.5k for that price I'm really happy with these",5,amazon,Positive
2,ABHINAV,Marvellous,"Play Video
 Pros
Comfortablle to ears
Fast connectivity
JBL app is available for our comfortable pith/mode adjustments
Battery performance is good
ANC is good
Cons
Quality is not up to the mark for the case
Volume is not much high",4,amazon,Positive
3,Ayush A.,Just after 1 month of warranty period product is not working.,"I purchased this product in December 2022, and it cost me around 13,999 that time, last December 2023 my product warranty expired, and from 3rd Jan 2024 suddenly product stopped working, I don't know the reason, product neither fell into water nor out of my hands, it suddenly stopped working, and when I call to jbl customer care they are saying sorry we cannot do anything, this product is non repairable, I lost my 14000 rupees, and now it's trash to me. I'm really disappointed. ð",1,amazon,Negative
4,Hridey,Damn good! Worth the buck,"Tried it on a year back, was truly impressed by the quality of ANC and sound
Worth the money back then, even more worth it on discount.
If youâre looking for a reliable and exceptional quality earphones on a budget, go for it!",5,amazon,Positive
5,Humam khan,Excellent for calling and music,"I bought JBL Live Pro 2 for my office meeting on MS Teams and it works perfect. Sound quality is excellent. Connectivity with laptop is established as soon as you pull out the earphones from the case. Call quality is top notch and when you activate noise cancellation, it goes to next level. I highly recommend these for calling. Now, let's come to music quality, that is also awesome. Bass is too good, you can clearly here instruments not audible on speakers. I bought it for 8999 in amazon great Indian festival sale.",5,amazon,Positive
6,Prasanth Kumar S,JBL live pro 2 awesome experience,"Pro's
Clear bass â­â­â­â­â­
Clear ANC â­â­â­â­â­
Alexa and google assistant inbuilt
Voice clarity awesomeððð
Buds fitness awesome
Customise equaliser

Cons

But some times app restarted with the sound of ""connected"" Voice
Spatial audio not available
Otherwise worth for money..",5,amazon,Positive
7,VISHNU,JBL Live pro 2 is good.but not recommended.,"It is my 3 week usage review.

Pros-
*ANC is good at this price.But High frequency noises are not blocked much.You can hear other people's speech as a sharp electronic sound.

*Battery backup-Very good.

*Multipoint connectivity-Very good.I have connected my laptop and phone.

Cons-
*App-I thought the jbl headphone app would be great.Best in terms of features.But this app doesn't open most of the time. Also, if the app is running in the background, the audio will break sometimes.It irritates me a lot.
So I usually force stop this app.Then this problem is rarely seen.

*Blutooth range-Bluetooth will break if there is a wall or something between the phone and tws.My previous sony wf1000xm3 didn't have this problem.

*Fit-Even the single eartip that comes with it doesn't suit me.I am using foam tip with this which I bought from amazon earlier for my sony tws.It gives a good fit.

*Case hinge-The lid is wobbling because the hinge of the case is not secure.

+/- Sound Quality-(It closely resembles the sound signature of the realme buds air 3s(2k) used by my brother)
Stock tuning and stock presets are seemed very bad. We can customize the sound according to our needs using phone eq and app eq.

*Bass-There is good sub bass but the treble is too high.So you can enjoy the bass by reducing the treble well.Mid bass is a little low.

*Mid-It is slightly recessed.The vocal sounds a bit thin and sharp.

*Highs-It is very bright,too harsh for me and a slight sibilance was felt.

Apart from the audio break issue I would say this is a great tws headset.I understand that this is JBL Headphone app issue.I know many people have experience with this issue.This product has been out for more than a year.So far JBL has not been able to fix this problem. So I can't recommend it to anyone.",2,amazon,Positive
8,Amazon Customer,Good Earbud,"Good Earbud. One less star is for the app. It sometimes does not work while the earbuds are in use..You need to remove them, put them back and then open the case for the app to work",4,amazon,Negative
9,Abhishek Rana,Better than Airpods pro,This earbuds are way better than airpods pro 2 and itâs also cost less.,5,amazon,Positive
10,Sujit Shinde,Not so premium experience,"Connection issues, switching between devices doesnât function smoothly.",3,amazon,Negative
11,Rishav Sharma,Animation for iOS,Sound quality of this product is Awesome in this price bracket. Just one thing is lacking that is animation for iOS application then it will definitely break the market of Apple Airpods pro,4,amazon,Positive
12,Kaushik,Sound quality is too good,Best product ever,5,amazon,Positive
13,Ryka Thomas,6 month review,"Have to say, i love using these buds.
The most useful feature for me is dual device connectivity. I use this a lot and it is is flawless.
I know, I know. What abouy its primary function!! Wrll, truth be told, the aound quality coming through these buds is decent. If there is anything, then its only that I've experienced better max volume in other buds like the Soundcore. But once you snug it in both years then it actually compensates. The size and the charging speeds are very good. And looks premium. All in all, is recommend it.",4,amazon,Positive
14,Ranjit Patra,Product Quality,It's a awesome product. Worth it.,5,amazon,Positive
15,Venkatesh mallan,JBL pro 2,Awesome product,5,amazon,Positive
16,Ratheesh AG,Excellent,Excellent,5,amazon,Positive
17,V,JBL Live Pro 2 - review after 2 months usage,"4.5 stars
I am completely blown away by these earbuds.
They definitely are above the rest TWS in terms of both ANC & Audio Quality, but still behind Sony WF-1000XM4 and Bose Quite Comfort. Connectivity and battery life are good as well. Its very comfortable to wear also, due to its enique oval shaped ear piece. I felt that it is more comfortable than Sony WF-1000XM4. And it won't fall off even if you shook your head, or jogged and all. I wear it to gym too.
The only problem I faced is it disconnects or goes off for a very small time, like 0.05 seconds, while playing youtube videos in my laptop. It happens like every 30-45 mins or so. But the same problem doesn't happen in my phone. Still I am satisfied with these earbuds because this problem doesn't happen while playing anything other than youtube, that too only in my laptop.
Otherwise, JBL Live Pro 2 is all fine and the best in the price range.",4,amazon,Positive
18,Johnson P G,Sound quality and battery backage.,Sound quality and battery backage is very amaze.... ððð,5,amazon,Positive
19,Sayan D.,Best wireless ear buds you can buy.,"I have tried apple airpods, samsung air buds and the jbl cheaper ones, but not this.
Based on expert reviews on PC mag etc, i decided to go for this due to its size (compared to samsung) and sound quality(compared to apple)

i found this superior when playing complex sound tracks with mix of both high and low frequencies.. something which the apple airpods would start to crackle at.

Gave it 4 stars only because the app and software is a bit buggy right now :D but not deal breaking.

i use full version of PowerAmp for music playback with high-res audio output and this headphone(compared to apple) copes up with very very well.

I am coming to this headphone from a pair of Audio Technica wired ones and these have impressed me a lot. so that says a lot about how good these are!

After using this extensively i must dock one more star. The right bud discharges quicker than the left one. Also the audio suffers in quality when playing complicated pieces. This is because of the software issue that switches it to video mode incorrectly.... Please fix this :(

UPDATE: using this for almost a year now. Battery life still seems decent. I have found certain songs make it crackle. Even though the song is a FLAC. I think the software really let's this down.",3,amazon,Positive
20,Amazon Customer,Great product,Awesome,5,amazon,Positive
21,Abdul,Noise cancellation is good,These r very good,4,amazon,Positive
22,Surfraz Shaikh,Not recommend for calling purposes,"I am writing this review after using for a month. After doing much research i decided to buy this product. Almost shelling out 12k, now i am feeling that i made completely wrong decision.

Pros: Music good, noise cancellation is ok while listing music. There is a JBL app where you can customize music, settings etc
Cons: My whole purpose for purchasing this costly product was for calling and my experience is pathetic with JBL product. There is lot of background noice heard by my office colleagues and my voice is suppressed during the call. This 3 mic is not effective for calling and cancellation of noice cancellation.

Hence if you are looking earbuds for calling purpose then i don't recommend it. And if you are looking for music then you can get better and cheaper products in market.",2,amazon,Negative
23,Placeholder,Nice Earpods,"I am using JBL Live Pro 2 for the last one month. It is worth for the money. Sound clarity is very good, ANC works beautifully. MIC gives clear voice communication during phone calls. Talk through and ambient sensing options are really good features. Last but not the least, battery last more than my expectations. (I am not a continuous headphone user)",5,amazon,Positive
24,Rakesh Jhanji,Happy to purchase this,Very well balanced sound. It ticks all the right boxes. Satisfied with the sound quality.,4,amazon,Positive
25,TAGUM JAMOH,Too pricy,"Quality is good. But it is two pricy. I have JBL 230 ANC in half the price and the JBL 230 ANC gives the same performance.
Instead of buying this pricy creature, better go for the JBL 230 ANC. Similar sound quality and similar call quality in half the price.",4,amazon,Negative
26,Vital Concept Design Pvt Ltd,Awesome product,Brilliant product and price,5,amazon,Positive
27,rahul j.,Typical jbl,"The audio interrupts all the time and the battery is only up for max 20 hrs(rough estimate) and doesn't give 40+4hrs as claimed.

Better to go fir some standard earphones.",2,amazon,Negative
28,Ankur,JBL rocks,"Amazing earbuds. Best one to purchase. Quality, features everything was great.",5,amazon,Positive
29,Amazon Customer,just okk,"the actual thing is these are good but 11 k is very expensive , it should have cost around 8k",4,amazon,Negative
30,Anita Tyor,not a good purchase,"these headphones have the worst software ever, which makes it's features like smart audio and video (even equilizer) frustating to use, the jbl headphones app sometimes doesn't open even after reinstalling. the audio quality is good.",3,amazon,Negative
31,Mayank Abhishek,A very premium set of earbuds by jbl,"Play Video
 I will keep it brief
Built quality - very good
Finish - very good
Sound quality - itâs actually amazing after many headphones and earphones some good wireless buds and along with the equaliser itâs a dynamite
Bass - excellent - small size big boom
Especially set with the app from jbl
Will review the battery life in a few days and comment upon them
ANC - beautiful ANC along with adjustments via the app. Jbl have really given the user a lot of freedom in tuning the earphones as per the user. Kudos ð¤ð¼

This is a review after one year and few months
The earphones are in simple words - value for money",4,amazon,Positive
32,Mukesh,Best buds for noise cancelling,"Play Video
 JBL is known for quality and performance... best buds ever for music and calls... must have.. go for it without 2nd thought",5,amazon,Positive
33,Rajeev,Mic does not work reliably,"- excellent noise cancellation and audio (just for listening) for both office calls as well as music/movies etc

two key drawbacks:
1. mic does not work properly and during office calls, other people start complaining that my voice they cannot hear properly with few words not being hear. When I use normal laptop mic/speaker, they say they can hear much better my voice.
2. it does not hold into my ear if I have to list to music while lying down or while eating or drinking something. It just falls down

because of above reasons, this unit is not worth the price (10k)",2,amazon,Negative
34,Arnab C.,As always Jbl = satisfaction,All pros.. only con ( if one has to choose) the sound could be a bit louder,4,amazon,Positive
35,Premnath,JBL live Pro 2 TWS,TWS is simply cool and awesome.,5,amazon,Positive
36,PINAKI SAMANTARAY,Media,Great ð ð,5,amazon,Positive
37,Nice,Good,Good,5,amazon,Positive
38,Harjith,Decent product,Noise cancellation is questionable but at the price wasn't looking for high-end buds quality. Definitely VFM,4,amazon,Positive
39,SJD,Good but not great,"Good sound quality.

Noise cancellation could have been better.

Not very comfortable to wear for longer period of times.

Battery life is very good.",3,amazon,Positive
40,kaushik bagchi,Please compere with SAMSUNG GELEXY BUD 2 pro and AIRPOD PRO 2,Awesome anc,5,amazon,Positive
41,Placeholder,QUALITY PRODUCTS,"ECONOMICAL,NICE QUALITY PRODUCTS",5,amazon,Positive
42,veerinder pal singh,Average,Average,3,amazon,Positive
43,naveen,Ok for songs not for calls,This JBL is only for listening songs not for phone calls ..super song clarity but very poor call quality,2,amazon,Negative
44,Amazon Customer,Comfort,Sab kuch sahi hai but agar comfort ki baat Karo toh nahi ek ghante se zyada lga hi nahi skte isko. Ek mahine ho gya liye hue but comfortable nahi lag rhe abhi bhi,3,amazon,Positive
45,Uttam k.,Best sound,Bawal sound,5,amazon,Positive
46,HEMA INFRA,Not satisfied,Not working properly not at all satisfied,1,amazon,Negative
47,Mohan Chaudhari,Signature sound....just go for it,Loved JBL,5,amazon,Positive
